owner_email,name,slug,description,email,phone,website,address,city_name,country_code,postal_code,category_slug,plan,status,featured,verified
admin@listacross.eu,Shakespeare and Company,shakespeare-company,Famous English-language bookstore and literary meeting place,info@shakespeareandcompany.com,+33143254093,https://shakespeareandcompany.com,37 Rue de la Bûcherie,Paris,FR,75005,bookstores,local,active,true,true
admin@listacross.eu,Boulangerie Poilâne,boulangerie-poilane,Legendary Parisian bakery famous for sourdough bread,contact@poilane.com,+33145487259,https://poilane.com,8 Rue du Cherche-Midi,Paris,FR,75006,bakeries,local,active,false,true
admin@listacross.eu,Zur Letzten Instanz,zur-letzten-instanz,Berlin's oldest restaurant serving traditional German cuisine since 1621,info@zurletzteninstanz.de,+493024255528,https://zurletzteninstanz.de,Waisenstraße 14-16,Berlin,DE,10179,restaurants,local,active,true,true
admin@listacross.eu,Hotel Adlon Kempinski,hotel-adlon-kempinski,Luxury 5-star hotel at Brandenburg Gate with presidential suites,info@adlon.de,+493022610,https://kempinski.com/adlon,Unter den Linden 77,Berlin,DE,10117,hotels,eu,active,true,true
admin@listacross.eu,Hackescher Hof,hackescher-hof,Traditional Berlin brewery restaurant with craft beers and German food,info@hackescherhof.de,+493028045977,https://hackescherhof.de,Rosenthalerstraße 40/41,Berlin,DE,10178,bars-pubs,free,active,false,false
admin@listacross.eu,KaDeWe,kadewе,Iconic luxury department store - Continental Europe's largest,info@kadewe.de,+49302121210,https://kadewe.de,Tauentzienstraße 21-24,Berlin,DE,10789,shopping,country,active,true,true
admin@listacross.eu,Trattoria da Enzo al 29,trattoria-da-enzo,Authentic Roman trattoria serving traditional recipes,info@daenzo.it,+390681372974,,Via dei Vascellari 29,Rome,IT,00153,restaurants,local,active,true,true
admin@listacross.eu,Hotel de Russie,hotel-de-russie,5-star luxury hotel with terraced gardens near Piazza del Popolo,reservations.rom@roccofortehotels.com,+390632888,https://roccofortehotels.com/rome,Via del Babuino 9,Rome,IT,00187,hotels,eu,active,true,true
admin@listacross.eu,Libreria Antica e Moderna,libreria-antica-moderna,Historic bookstore specializing in art history and archaeology,info@libreriaanticamoderna.it,+39066795304,https://libreriaanticamoderna.it,Via del Corso 156,Rome,IT,00186,bookstores,free,active,false,true
admin@listacross.eu,Ginger Gelato,ginger-gelato,Artisanal gelato shop with unique flavors and natural ingredients,info@gingergelato.it,+39065833243,https://gingergelato.it,Via Borgo Pio 43,Rome,IT,00193,cafes-coffee,free,active,false,false
admin@listacross.eu,Cal Pep,cal-pep,Legendary Barcelona tapas bar with counter seating only,info@calpep.com,+34933107961,https://calpep.com,Plaça de les Olles 8,Barcelona,ES,08003,restaurants,country,active,true,true
admin@listacross.eu,Hotel Casa Fuster,hotel-casa-fuster,5-star boutique hotel in modernist building on Passeig de Gràcia,info@hotelcasafuster.com,+34932552900,https://hotelcasafuster.com,Passeig de Gràcia 132,Barcelona,ES,08008,hotels,country,active,true,true
admin@listacross.eu,Escribà Pastisseria,escriba-pastisseria,Renowned pastry shop with artistic desserts and chocolates,info@escriba.es,+34934544906,https://escriba.es,La Rambla 83,Barcelona,ES,08002,bakeries,local,active,false,true
admin@listacross.eu,Palau de la Música Catalana,palau-musica-catalana,UNESCO World Heritage concert hall with stunning modernist architecture,info@palaumusica.cat,+34932957200,https://palaumusica.cat,Carrer Palau de la Música 4-6,Barcelona,ES,08003,music-venues,eu,active,true,true
admin@listacross.eu,U Fleku,u-fleku,Historic Prague brewery and beer hall operating since 1499,info@ufleku.cz,+420224934019,https://ufleku.cz,Křemencova 11,Prague,CZ,11000,bars-pubs,local,active,true,true
admin@listacross.eu,Hotel Golden Well,hotel-golden-well,Luxury boutique hotel with castle views in Lesser Town,info@goldenwell.cz,+420257011213,https://goldenwell.cz,U Zlaté studně 166/4,Prague,CZ,11800,hotels,country,active,true,true
admin@listacross.eu,Antikvariát Kant,antikvariatùkant,Legendary antiquarian bookstore specializing in philosophy and literature,info@antikvariatکant.cz,+420224235737,,Národní 37,Prague,CZ,11000,bookstores,free,active,false,true
admin@listacross.eu,Café Louvre,cafe-louvre,Historic Prague café frequented by Einstein and Kafka,info@cafelouvre.cz,+420224930949,https://cafelouvre.cz,Národní 22,Prague,CZ,11000,cafes-coffee,free,active,false,true
admin@listacross.eu,Noma,noma,World-renowned restaurant with innovative Nordic cuisine,reservation@noma.dk,+4532963297,https://noma.dk,Refshalevej 96,Copenhagen,DK,1432,fine-dining,eu,active,true,true
admin@listacross.eu,Hotel d'Angleterre,hotel-dangleterre,Grand luxury hotel in the heart of Copenhagen since 1755,info@dangleterre.dk,+4533120095,https://dangleterre.com,Kongens Nytorv 34,Copenhagen,DK,1050,hotels,eu,active,true,true
admin@listacross.eu,The Coffee Collective,coffee-collective-copenhagen,Specialty coffee roaster and café with award-winning beans,info@coffeecollective.dk,+4535437467,https://coffeecollective.dk,Jægersborggade 10,Copenhagen,DK,2200,cafes-coffee,local,active,false,true
admin@listacross.eu,Politikens Boghal,politikens-boghal,Large independent bookstore chain with extensive Danish literature,info@politikensboghal.dk,+4533473147,https://politikensboghal.dk,Rådhuspladsen 37,Copenhagen,DK,1785,bookstores,free,active,false,true
admin@listacross.eu,Széchenyi Thermal Baths,szechenyi-baths,Historic thermal bath complex with outdoor pools and chess players,info@szechenyibath.hu,+3613633210,https://szechenyibath.hu,Állatkerti krt. 9-11,Budapest,HU,1146,spas-wellness,country,active,true,true
admin@listacross.eu,Gerbaud Café,gerbaud-cafe,Legendary Hungarian confectionery and café since 1858,info@gerbaud.hu,+3614290000,https://gerbaud.hu,Vörösmarty tér 7-8,Budapest,HU,1051,cafes-coffee,local,active,true,true
admin@listacross.eu,Four Seasons Hotel Gresham Palace,four-seasons-gresham,Luxury 5-star hotel in Art Nouveau palace overlooking Danube,reservations.budapest@fourseasons.com,+3612680000,https://fourseasons.com/budapest,Széchenyi István tér 5-6,Budapest,HU,1051,hotels,eu,active,true,true
admin@listacross.eu,Central Market Hall,central-market-hall,Historic covered market with Hungarian specialties and souvenirs,info@centralmarkethall.hu,+3612170067,https://centralmarkethall.hu,Vámház krt. 1-3,Budapest,HU,1093,supermarkets,free,active,false,true
admin@listacross.eu,The Shelbourne,the-shelbourne,Historic 5-star hotel overlooking St. Stephen's Green since 1824,info@marriott.com,+35316634500,https://marriott.com/dublin-shelbourne,27 St Stephen's Green,Dublin,IE,D02XK91,hotels,country,active,true,true
admin@listacross.eu,The Brazen Head,brazen-head,Ireland's oldest pub dating back to 1198 with traditional Irish music,info@brazenhead.com,+35316779549,https://brazenhead.com,20 Lower Bridge Street,Dublin,IE,D08WC64,bars-pubs,local,active,true,true
admin@listacross.eu,Chapter One,chapter-one,Michelin-starred restaurant serving modern Irish cuisine,info@chapteronerestaurant.com,+35318732266,https://chapteronerestaurant.com,18-19 Parnell Square North,Dublin,IE,D01T3V8,fine-dining,country,active,true,true
admin@listacross.eu,Hodges Figgis,hodges-figgis,Ireland's oldest bookstore established in 1768,info@waterstones.com,+35316774754,https://waterstones.com/bookshops/dublin,56-58 Dawson Street,Dublin,IE,D02PH23,bookstores,free,active,false,true
